Year,Tournament,Surface,Winner,Player_1,Player_2,Score,runner_up,era
2014,Australian Open,Hard,Stan Wawrinka,Nadal R.,Wawrinka S.,3-6 2-6 6-3 3-6,Rafael Nadal,Other
2014,French Open,Clay,Rafael Nadal,Nadal R.,Djokovic N.,3-6 7-5 6-2 6-4,Novak Djokovic,Big Three
2014,Wimbledon,Grass,Novak Djokovic,Federer R.,Djokovic N.,7-6 4-6 6-7 7-5 4-6,Roger Federer,Big Three
2014,US Open,Hard,Marin Cilic,Nishikori K.,Cilic M.,3-6 3-6 3-6,Nishikori K.,Other
2015,Australian Open,Hard,Novak Djokovic,Djokovic N.,Murray A.,7-6 6-7 6-3 6-0,Andy Murray,Big Three
2015,French Open,Clay,Stan Wawrinka,Djokovic N.,Wawrinka S.,6-4 4-6 3-6 4-6,Novak Djokovic,Other
2015,Wimbledon,Grass,Novak Djokovic,Djokovic N.,Federer R.,7-6 6-7 6-4 6-3,Roger Federer,Big Three
2015,US Open,Hard,Novak Djokovic,Federer R.,Djokovic N.,4-6 7-5 4-6 4-6,Roger Federer,Big Three
2016,Australian Open,Hard,Novak Djokovic,Murray A.,Djokovic N.,1-6 5-7 6-7,Andy Murray,Big Three
2016,French Open,Clay,Novak Djokovic,Murray A.,Djokovic N.,6-3 1-6 2-6 4-6,Andy Murray,Big Three
2016,Wimbledon,Grass,Andy Murray,Raonic M.,Murray A.,4-6 6-7 6-7,Raonic M.,Other
2016,US Open,Hard,Stan Wawrinka,Djokovic N.,Wawrinka S.,7-6 4-6 5-7 3-6,Novak Djokovic,Other
2017,Australian Open,Hard,Roger Federer,Nadal R.,Federer R.,4-6 6-3 1-6 6-3 3-6,Rafael Nadal,Big Three
2017,French Open,Clay,Rafael Nadal,Wawrinka S.,Nadal R.,2-6 3-6 1-6,Stan Wawrinka,Big Three
2017,Wimbledon,Grass,Roger Federer,Federer R.,Cilic M.,6-3 6-1 6-4,Marin Cilic,Big Three
2017,US Open,Hard,Rafael Nadal,Nadal R.,Anderson K.,6-3 6-3 6-4,Anderson K.,Big Three
2018,Australian Open,Hard,Roger Federer,Cilic M.,Federer R.,2-6 7-6 3-6 6-3 1-6,Marin Cilic,Big Three
2018,French Open,Clay,Rafael Nadal,Nadal R.,Thiem D.,6-4 6-3 6-2,Dominic Thiem,Big Three
2018,Wimbledon,Grass,Novak Djokovic,Anderson K.,Djokovic N.,2-6 2-6 6-7,Anderson K.,Big Three
2018,US Open,Hard,Novak Djokovic,Djokovic N.,Del Potro J.M.,6-3 7-6 6-3,Del Potro J.M.,Big Three
2019,Australian Open,Hard,Novak Djokovic,Djokovic N.,Nadal R.,6-3 6-2 6-3,Rafael Nadal,Big Three
2019,French Open,Clay,Rafael Nadal,Nadal R.,Thiem D.,6-3 5-7 6-1 6-1,Dominic Thiem,Big Three
2019,Wimbledon,Grass,Novak Djokovic,Djokovic N.,Federer R.,7-6 1-6 7-6 4-6 13-12,Roger Federer,Big Three
2020,Australian Open,Hard,Novak Djokovic,Thiem D.,Djokovic N.,4-6 6-4 6-2 3-6 4-6,Dominic Thiem,Big Three
2020,US Open,Hard,Dominic Thiem,Thiem D.,Zverev A.,2-6 4-6 6-4 6-3 7-6,Zverev A.,Other
2020,French Open,Clay,Rafael Nadal,Djokovic N.,Nadal R.,0-6 2-6 5-7,Novak Djokovic,Big Three
2021,Australian Open,Hard,Novak Djokovic,Medvedev D.,Djokovic N.,5-7 2-6 2-6,Daniil Medvedev,Big Three
2021,French Open,Clay,Novak Djokovic,Djokovic N.,Tsitsipas S.,6-7 2-6 6-3 6-2 6-4,Tsitsipas S.,Big Three
2021,Wimbledon,Grass,Novak Djokovic,Djokovic N.,Berrettini M.,6-7 6-4 6-4 6-3,Berrettini M.,Big Three
2021,US Open,Hard,Daniil Medvedev,Medvedev D.,Djokovic N.,6-4 6-4 6-4,Novak Djokovic,Other
2022,Australian Open,Hard,Rafael Nadal,Medvedev D.,Nadal R.,6-2 7-6 4-6 4-6 5-7,Daniil Medvedev,Big Three
2022,French Open,Clay,Rafael Nadal,Nadal R.,Ruud C.,6-3 6-3 6-0,Ruud C.,Big Three
2022,Wimbledon,Grass,Novak Djokovic,Djokovic N.,Kyrgios N.,4-6 6-3 6-4 7-6,Kyrgios N.,Big Three
2022,US Open,Hard,Carlos Alcaraz,Ruud C.,Alcaraz C.,4-6 6-2 6-7 3-6,Ruud C.,New Generation
2023,Australian Open,Hard,Novak Djokovic,Tsitsipas S.,Djokovic N.,3-6 6-7 6-7,Tsitsipas S.,Big Three
2023,French Open,Clay,Novak Djokovic,Djokovic N.,Ruud C.,7-6 6-3 7-5,Ruud C.,Big Three
2023,Wimbledon,Grass,Carlos Alcaraz,Djokovic N.,Alcaraz C.,6-1 6-7 1-6 6-3 4-6,Novak Djokovic,New Generation
2023,US Open,Hard,Novak Djokovic,Djokovic N.,Medvedev D.,6-3 7-6 6-3,Daniil Medvedev,Big Three
2024,Australian Open,Hard,Jannik Sinner,Medvedev D.,Sinner J.,6-3 6-3 4-6 4-6 3-6,Daniil Medvedev,New Generation
2024,French Open,Clay,Carlos Alcaraz,Zverev A.,Alcaraz C.,3-6 6-2 7-5 1-6 2-6,Zverev A.,New Generation
2024,Wimbledon,Grass,Carlos Alcaraz,Djokovic N.,Alcaraz C.,2-6 2-6 6-7,Novak Djokovic,New Generation
2024,US Open,Hard,Jannik Sinner,Fritz T.,Sinner J.,3-6 4-6 5-7,Fritz T.,New Generation
2025,Australian Open,Hard,Jannik Sinner,Sinner J.,Zverev A.,6-3 7-6 6-3,Zverev A.,New Generation
2025,French Open,Clay,Carlos Alcaraz,Sinner J.,Alcaraz C.,6-4 7-6 4-6 6-7 6-7,Jannik Sinner,New Generation
2025,Wimbledon,Grass,Jannik Sinner,Sinner J.,Alcaraz C.,4-6 6-4 6-4 6-4,Carlos Alcaraz,New Generation
2025,US Open,Hard,Carlos Alcaraz,Sinner J.,Alcaraz C.,2-6 6-3 1-6 4-6,Jannik Sinner,New Generation
